Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.27,1.547027596,270.7479053,-151.7537423,1.19,1.278887796,293.5762856,-179.8897844,0.93,1.288826354,363.9156368,-205.4470523
1.29,1.381968303,264.8724188,-149.9179311,1.19,1.039025228,308.7302789,-188.9304086,0.97,1.033695671,352.8901075,-202.2359982
1.28,1.644406145,265.7195617,-156.034805,1.17,1.535450255,290.2768538,-185.8896161,0.94,1.908220102,357.1170988,-201.9559898
1.29,1.438295633,260.6077956,-142.5219007,1.18,1.410342439,298.1288035,-187.4679681,0.94,1.604154641,350.0548423,-204.2685671
1.3,1.296829442,259.263458,-147.1130034,1.16,1.213955055,294.7170391,-198.9380438,0.92,1.485734944,355.0025689,-209.6511906
1.33,1.281186468,254.942843,-149.5535691,1.16,1.045849869,297.5603644,-177.4877957,0.95,1.195149223,343.9052797,-207.2261312
1.3,0.932422587,262.9317965,-141.4480589,1.16,1.087722198,287.5328101,-182.6723722,0.96,1.384908741,330.3756588,-207.7544415
1.28,0.783757588,252.8500001,-147.2262556,1.16,1.202819357,287.3584097,-179.7430715,0.94,1.474849906,341.9278149,-209.9304205
1.29,1.297308479,257.5194067,-140.2595891,1.19,1.567889245,281.8871962,-184.7184527,0.96,1.89206788,348.3389957,-209.9409212
1.29,0.950689704,254.8275694,-151.0310074,1.18,1.239058612,296.8451455,-184.747697,0.96,1.360779476,349.1348292,-208.0103433
1.3,1.283691211,262.5519893,-156.4343328,1.21,1.027000306,281.5980842,-195.5661666,0.97,1.263360292,351.4458949,-203.6822935
1.26,1.332864842,267.0275933,-151.4437712,1.19,1.140992804,282.0405684,-192.3344317,0.94,1.50702329,355.9635158,-204.2396359
1.3,1.225784311,258.3133671,-150.274453,1.17,1.233520627,275.9137411,-192.2596435,0.97,1.450821376,343.5966669,-197.699193
1.28,1.500078352,266.1135757,-162.0370013,1.16,1.380687338,289.3608538,-189.0681242,0.96,1.454479073,346.7810965,-190.6498931
1.29,1.114306288,253.383138,-158.313357,1.15,1.616343419,299.8692478,-184.2731592,0.96,1.97831917,351.2802786,-204.2426403
1.27,1.069756738,253.8405558,-160.0282171,1.14,1.569669446,306.827553,-182.5882904,0.94,1.834931149,348.1788993,-199.0268052
1.26,1.438033866,257.7499914,-163.7279138,1.16,1.550635739,297.921852,-186.0964002,0.94,1.853220539,350.6350951,-196.2372269
1.23,0.931735362,271.1970298,-153.9294082,1.19,1.13554679,290.1051593,-182.4431738,0.96,1.476229746,343.4732421,-188.5702377
1.23,1.089535191,279.0091511,-154.0704698,1.18,1.015553021,301.4954316,-185.2953622,0.96,1.197100976,346.1806018,-196.7066506
1.24,1.364981227,267.2810847,-150.1982131,1.19,1.185960359,304.236449,-179.5066258,0.97,1.385497408,357.9208665,-192.4905783
1.22,1.192903874,288.5347631,-157.4010932,1.19,0.884679203,284.1643679,-183.1942101,0.97,1.189546854,350.9404426,-197.2872207
1.25,1.498056125,269.0194903,-160.6122422,1.17,1.074479076,294.0102674,-179.729113,0.97,1.109555605,340.0667571,-194.3501341
1.24,1.227783607,273.5699484,-159.4711334,1.17,1.08847759,293.8409328,-193.702034,0.96,1.171764223,346.9250184,-194.548349
1.24,1.264707516,273.7570816,-161.9078161,1.17,1.038393811,303.7963065,-178.2149239,0.99,1.140118044,340.4983914,-190.8885675
1.22,1.271736574,282.3009275,-161.3859469,1.17,1.504488208,289.8546319,-178.5664876,0.98,1.734551371,335.718955,-189.2143963
1.24,1.478936821,281.8193627,-152.3791012,1.16,1.477485883,291.9633571,-181.324855,0.98,1.559641269,345.2488517,-200.8294331
1.24,0.942797026,271.0757468,-158.7552805,1.18,1.068112924,285.0556205,-179.0432471,0.97,1.380235682,345.8854189,-202.4586636
1.24,0.974282612,273.7840269,-151.5054147,1.16,1.220424042,302.9463069,-176.7891702,0.96,1.265828066,342.3809531,-192.8619943
1.2,0.818612397,277.2591398,-160.0915775,1.19,1.08476783,304.6817453,-182.7102523,0.96,1.324954986,340.3981491,-199.6598319
1.22,1.060014421,291.3976284,-159.813947,1.19,1.369913103,298.9545276,-180.7790412,0.96,1.647056002,346.7346613,-200.9378978
1.21,1.566026045,284.5067923,-155.2141591,1.18,1.60101822,298.920875,-195.90309,0.96,1.619242225,346.5578733,-198.9293199
1.24,1.2889773,272.4393506,-160.9535765,1.17,1.453162879,294.6504294,-176.4248453,0.97,1.476677036,345.5346445,-199.6221489
1.22,1.021685814,279.0907734,-148.4504814,1.2,1.589151273,295.1254833,-188.0461789,0.95,1.901052605,340.7536578,-205.4969709
1.22,0.814381097,287.5818133,-160.7424822,1.19,1.378090898,301.3959982,-188.1847453,0.95,1.562692177,346.5044639,-198.9290104
1.21,1.399432647,279.2941774,-167.7422316,1.2,1.386980097,303.9161063,-183.4142945,0.95,1.498345217,348.3195538,-202.207443
1.21,0.964321587,271.3925011,-160.0226905,1.18,1.5176892,304.0098606,-190.0209723,0.96,1.631634589,342.787939,-190.2618395
1.22,1.133186959,266.6506873,-164.2189987,1.18,1.604961584,288.9338687,-189.7539681,0.96,1.858725377,341.5641922,-190.7682165
1.23,1.195381638,266.3412602,-161.3001107,1.21,1.296423739,298.7990291,-181.0983114,0.97,1.289490038,335.0024673,-202.5665236
1.24,0.775283685,278.8915853,-170.9477857,1.18,1.352895157,290.5034572,-173.2860121,0.96,1.508038567,339.8769692,-209.8790293
1.2,1.622981007,285.1185283,-161.4953801,1.19,1.64982471,297.1113436,-185.5361382,0.96,1.759191231,323.529223,-202.3299303
1.2,1.470854799,288.5725454,-158.1645959,1.22,1.635361336,291.2482461,-185.527011,0.96,1.638000131,351.6218992,-200.3797842
1.23,0.847261948,283.5306564,-148.9448533,1.19,1.385925645,307.8719006,-185.9388755,0.97,1.428860636,347.7763217,-199.4625838
1.26,0.967987851,274.8767423,-148.2380131,1.18,1.526631145,300.9285797,-194.8657392,0.98,1.537608209,344.4433152,-214.9247027
1.22,1.00634667,295.4911098,-160.2871351,1.19,1.261313589,298.5036352,-196.6590388,0.96,1.641827546,356.4421417,-209.9245282
1.25,1.353915322,282.6628834,-163.6671851,1.18,1.389477359,293.7398954,-193.0045688,0.97,1.449493728,343.1869946,-206.0745681
1.24,1.462348499,285.2912426,-163.8635792,1.19,1.464207953,283.0879046,-187.6875952,0.96,1.461319481,353.7773265,-196.5316249
1.22,1.173183972,287.20251,-155.8633167,1.16,1.360511949,286.5104065,-203.1625758,0.95,1.69546287,352.4667528,-201.7835205
1.21,1.172157309,282.383111,-167.8478063,1.16,1.446074477,295.4557463,-199.6263225,0.96,1.747005352,348.4076984,-198.7691468
1.22,1.262804843,286.3515452,-161.9327748,1.18,1.548760064,304.0409167,-189.2795223,0.94,1.76050435,341.6163895,-199.1885359
1.21,1.283631764,278.2780386,-154.2104666,1.18,1.643428668,310.5677449,-190.3504861,0.95,1.727588149,345.8678839,-192.033045
1.26,1.291309526,278.7460359,-161.0751502,1.16,1.614413737,295.4600245,-183.0169193,0.97,1.663144419,352.3373256,-202.955798
1.21,1.28837816,276.4107619,-150.2135887,1.2,1.372850863,293.7066321,-181.7964518,0.96,1.592035824,360.4065637,-216.7524606
1.21,1.210311763,289.3948223,-163.9423808,1.15,1.4894169,308.5811559,-183.6191545,0.94,1.511444109,346.15533,-205.7149308
1.2,1.196789663,282.5261185,-166.0587825,1.14,1.431496359,314.8082172,-187.2561988,0.95,1.785607874,352.9797105,-214.9182107
1.2,1.1730096,282.2194231,-151.3495461,1.17,1.560427539,306.7815678,-181.3916184,0.95,1.706501688,354.8871319,-205.5150991
1.18,1.332255625,284.5384874,-163.2932679,1.12,1.544664387,320.3063858,-200.9298918,0.95,1.814375454,349.2804934,-208.244835
1.21,1.174387384,285.9922215,-160.8228058,1.15,1.673080065,314.4095018,-177.0559006,0.97,1.994461652,336.8955641,-203.3925937
1.22,1.152144546,283.8065421,-159.7289216,1.16,1.572632307,312.9885166,-191.4118388,0.96,1.833785398,347.8020214,-209.5686856
