F1,F2,F3,F4,gait
0.98,1.844937288,348.5820802,-196.3509064,plantar
0.99,1.646840515,339.3606048,-187.8229476,plantar
0.99,1.772097753,350.5703201,-197.9534225,plantar
0.97,1.541050446,356.0646775,-200.9906789,plantar
0.98,1.529946529,350.4938968,-199.8169644,plantar
0.99,1.316791686,350.2646026,-195.8058202,plantar
0.99,1.720189875,352.1516505,-198.6872325,plantar
0.98,1.275305724,353.0415951,-200.7891646,plantar
1,1.157582923,349.4202962,-187.0016075,plantar
1,1.41394127,351.5896063,-193.8844025,plantar
0.99,1.493454619,360.8769647,-194.2249366,plantar
1.01,1.499070823,354.2012584,-195.2456673,plantar
0.98,1.195851629,352.9185217,-191.1794563,plantar
1,1.83783445,352.0225685,-186.8376492,plantar
0.96,1.460458877,369.4674055,-209.258655,plantar
0.97,1.651599197,356.8163177,-196.986949,plantar
0.97,1.664396394,360.4258795,-194.9545671,plantar
0.95,1.423150258,366.9205633,-203.3343507,plantar
0.95,1.543889465,363.6547229,-204.5441942,plantar
0.95,1.170980082,367.2630783,-200.9102787,plantar
0.96,1.228570807,363.274291,-204.906078,plantar
0.96,1.578152885,359.5790219,-205.2364727,plantar
0.97,1.629161168,354.4664824,-200.4079297,plantar
0.97,1.826790255,362.066546,-203.0646762,plantar
0.98,1.787769462,367.7175793,-199.2990725,plantar
0.97,1.517658228,361.6833529,-196.5809357,plantar
0.95,1.611198906,349.0302023,-202.4963575,plantar
0.99,1.52640832,345.0704873,-190.5079601,plantar
0.99,1.44905901,357.8119227,-189.5814503,plantar
0.97,1.547630745,360.263757,-193.3369894,plantar
0.96,1.492303045,359.1168387,-204.0150096,plantar
