F1,F2,F3,F4,
1.38,1.577810177,237.3724784,-133.4043537,normal
1.39,1.216449298,247.837375,-124.6995952,normal
1.42,0.442806405,272.1575319,-133.7965624,normal
1.38,1.355778628,228.8342419,-135.4343312,normal
1.37,1.54970745,229.4024267,-127.3512913,normal
1.34,1.32776636,275.8636535,-144.3373627,normal
1.39,1.501058917,223.7751882,-144.3373627,normal
1.37,1.482818752,268.1247761,-135.7648397,normal
1.33,1.751365171,268.7913344,-145.8935108,normal
1.37,1.665511611,243.0386324,-145.8935108,normal
1.35,1.479996693,250.3196722,-130.1947991,normal
1.35,1.417906358,269.929309,-135.9513506,normal
1.4,1.292532773,255.8722616,-139.3093296,normal
1.36,1.521248122,262.9321661,-139.3093296,normal
1.33,1.868135907,273.4271449,-144.4484831,normal
1.36,1.216872309,276.4213818,-142.7740948,normal
1.38,1.36827027,214.2078734,-142.7740948,normal
1.32,1.132851046,232.6362803,-125.1972683,normal
1.33,1.262666004,230.9240077,-136.4685161,normal
1.32,1.432816404,239.4375902,-135.0161108,normal
1.3,1.627869401,241.7309383,-135.4648592,normal
1.39,1.327480357,220.1446294,-135.4648592,normal
1.35,1.698628019,260.0108221,-135.8142316,normal
1.36,1.113888898,262.7615015,-141.9413576,normal
1.34,1.515550772,249.738112,-141.9413576,normal
1.31,1.572200659,262.6050401,-135.1957269,normal
1.33,1.518526867,259.2474364,-138.4845428,normal
,,,,
1.5,1.053347218,229.9281789,-107.8191155,dorsi
1.45,1.398920329,216.8552082,-116.64289,dorsi
1.39,1.496297289,235.8458023,-124.3262372,dorsi
1.37,1.581230803,246.7249776,-134.733894,dorsi
1.38,1.523248439,255.4170375,-112.5887203,dorsi
1.4,1.285639509,245.3191828,-117.7253134,dorsi
1.39,1.116859688,246.936888,-126.5873251,dorsi
1.41,1.263833104,240.4677008,-134.6842018,dorsi
1.36,1.716369489,253.8027873,-130.4574514,dorsi
1.35,1.275702769,243.458106,-127.2692179,dorsi
1.34,1.683775467,255.3849555,-129.9460341,dorsi
1.37,1.521713587,251.7320079,-126.4365676,dorsi
1.39,1.630981122,254.9873787,-115.3261613,dorsi
1.35,1.732370078,255.9728517,-149.2728541,dorsi
1.39,1.533986583,231.0435825,-136.1800493,dorsi
1.34,1.615834689,268.4273811,-128.4048383,dorsi
1.36,2.033273727,253.8234533,-127.7267897,dorsi
1.34,1.602700019,250.7131246,-140.7816112,dorsi
1.31,1.743015759,267.0029645,-128.7820874,dorsi
1.37,1.782325435,253.9454905,-146.1745973,dorsi
1.39,1.743205651,244.4667044,-143.2775793,dorsi
1.38,1.699182851,228.8022076,-152.5963084,dorsi
1.36,1.832343038,246.0852275,-134.3186637,dorsi
1.35,1.723455531,272.1499246,-138.8442534,dorsi
1.33,1.640562252,263.2924905,-139.197797,dorsi
1.37,1.922967132,257.6927063,-140.4050671,dorsi
1.34,1.575117484,268.3757791,-152.488478,dorsi
1.35,1.51387859,262.538542,-134.6981501,dorsi
1.31,1.680459954,251.473452,-137.5347429,dorsi
1.34,1.91054859,262.7667135,-145.5501076,dorsi
1.31,1.558045723,279.1691069,-144.0647642,dorsi
1.33,1.549061306,261.3081036,-127.5370945,dorsi
1.31,1.758378488,274.308465,-139.1918051,dorsi
1.33,2.133723697,254.5202239,-122.3134384,dorsi
1.3,1.60763772,236.0716433,-120.7117175,dorsi
1.37,1.446549549,234.4918878,-124.8995356,dorsi
1.32,1.564838515,236.1713559,-148.5182043,dorsi
1.3,1.629460962,242.0392405,-157.154046,dorsi
1.32,1.366562918,245.9689656,-139.9106025,dorsi
1.3,1.672196319,262.280027,-127.8798939,dorsi
1.31,1.904051624,281.578963,-134.4602653,dorsi
1.35,1.377947011,268.3047761,-137.5409829,dorsi
1.34,1.732154329,256.6759577,-133.3992139,dorsi
1.32,1.342515616,282.9849717,-145.279925,dorsi
1.28,1.917026519,279.5665501,-139.2596341,dorsi
1.38,1.313412257,250.8973483,-130.1423416,dorsi
1.3,0.894104956,263.2228089,-137.0295882,dorsi
1.36,1.392349072,248.5277844,-135.9578465,dorsi
1.3,1.311346805,254.4633516,-134.6051277,dorsi
1.35,1.582321,272.7529939,-147.404374,dorsi
1.26,1.634895689,236.8874574,-146.7998579,dorsi
1.29,1.205923008,257.7498647,-143.1060946,dorsi
1.32,1.25002008,267.9696082,-137.9416456,dorsi
1.33,1.903690148,260.9989256,-136.309739,dorsi
1.34,1.057333723,272.7936865,-145.9939931,dorsi
1.37,1.625671627,254.5987724,-137.2159843,dorsi
1.38,1.651582194,245.8511945,-132.9169451,dorsi
1.32,1.930569676,274.3361953,-138.6450342,dorsi
1.32,1.564820402,261.4110506,-152.4491867,dorsi
1.35,1.79630999,265.4619327,-139.1453645,dorsi
1.34,1.585942456,260.7107771,-129.5632701,dorsi
1.35,1.798829097,248.8907081,-138.7625263,dorsi
1.35,0.360513638,240.8996405,-142.1081501,dorsi
1.34,1.697565707,233.0511799,-164.0004161,dorsi
1.34,2.007202299,249.8724889,-155.9452306,dorsi
1.34,2.026692916,230.5444084,-132.3162514,dorsi
1.34,1.781017405,254.4875002,-132.8528266,dorsi
1.35,1.43861014,265.6012228,-122.1836023,dorsi
1.33,1.521891665,259.2803659,-140.4470806,dorsi
1.31,1.841703063,274.3709628,-135.2321622,dorsi
1.34,1.652228338,265.3924705,-132.2195182,dorsi
1.32,1.44943599,269.3912756,-137.8832133,dorsi
1.38,1.619774744,253.5990414,-129.1610414,dorsi
1.35,2.100173971,268.3322002,-130.9194009,dorsi
1.38,1.347514269,246.0151404,-137.3176066,dorsi
1.35,1.685964189,259.713136,-131.3590584,dorsi
1.35,1.745477207,274.5583712,-150.8070412,dorsi
1.39,1.575687828,250.0456169,-138.538521,dorsi
1.37,1.525232103,248.4499723,-145.2183198,dorsi
1.33,1.235912803,228.3549861,-153.1768058,dorsi
1.36,1.569815569,228.8160043,-131.3855251,dorsi
1.34,1.58215062,238.7837874,-133.6736588,dorsi
1.32,1.329464577,256.4569118,-126.3724206,dorsi
1.35,1.931699026,252.5236872,-127.3532648,dorsi
1.32,1.772752091,289.4718266,-130.3660432,dorsi
1.38,1.878881514,266.6797678,-139.1887245,dorsi
1.33,1.786342053,252.6224618,-134.861582,dorsi
1.33,1.699112685,277.5101554,-130.7564806,dorsi
1.31,1.565364813,274.9669163,-154.1030301,dorsi
1.36,1.979362016,258.6652909,-132.2036946,dorsi
1.34,2.161075494,262.6519386,-138.1222062,dorsi
1.37,2.182859337,264.6548398,-136.3535407,dorsi
1.38,1.872578186,257.2627167,-137.8265216,dorsi
1.37,1.576580873,261.3389234,-144.7182405,dorsi
1.39,1.765526539,260.6461299,-133.0486962,dorsi
1.41,1.489695495,250.1366094,-134.8315233,dorsi
1.35,1.459818947,235.6051385,-130.4922773,dorsi
1.36,1.967246592,265.9038367,-138.2916088,dorsi
1.37,1.557479671,260.0563086,-139.4426537,dorsi
1.4,0.989122984,249.0450493,-135.7942439,dorsi
1.37,1.790601643,254.502925,-142.081527,dorsi
1.37,1.696649953,248.5494854,-134.1522444,dorsi
1.42,1.370668456,257.5966893,-117.0404057,dorsi
