F1,F2,F3,F4,gait
1.25,1.515914965,296.4705469,-184.2912371,dorsi
1.23,1.472816505,306.2140396,-170.3668805,dorsi
1.23,1.259429085,322.5171613,-180.6215904,dorsi
1.23,1.536435353,316.5678251,-182.9003962,dorsi
1.25,1.059885998,301.6941711,-175.9806712,dorsi
1.25,1.462621412,305.9984564,-176.0199282,dorsi
1.24,1.476205311,311.7738797,-180.7956411,dorsi
1.22,1.535545292,311.0327088,-185.1048819,dorsi
1.25,1.405116949,305.280313,-171.9319413,dorsi
1.25,1.334815769,305.4141731,-175.9740175,dorsi
1.28,1.155757096,286.7030379,-167.1459692,dorsi
1.27,1.531806552,306.5914479,-173.4964025,dorsi
1.28,1.255677196,309.5191005,-165.8252523,dorsi
1.27,1.095956434,318.3997526,-170.9808946,dorsi
1.27,1.188797651,318.3205416,-165.7351278,dorsi
1.3,1.43240434,304.048462,-158.3543941,dorsi
1.26,1.282617768,305.930063,-170.6328995,dorsi
1.27,1.138225876,300.4548841,-169.7081627,dorsi
1.23,1.521209116,317.6273664,-177.6667909,dorsi
1.24,1.458191875,316.1634909,-181.8396749,dorsi
1.28,1.380875867,312.8341102,-174.1021016,dorsi
1.28,1.32377723,310.8289754,-170.8450486,dorsi
1.23,1.063711812,319.8910326,-177.1548855,dorsi
1.22,1.265664699,319.9847944,-180.6789936,dorsi
1.25,1.043972791,303.8080062,-178.7315554,dorsi
1.24,1.095701184,309.2638283,-175.086792,dorsi
1.25,1.297746537,318.5665039,-174.42262,dorsi
1.26,1.364014055,297.3782566,-171.8639873,dorsi
1.24,1.616336229,316.1558598,-168.5060954,dorsi
1.21,1.714236036,324.1268002,-178.4991789,dorsi
1.19,1.175473193,327.291289,-174.6374235,dorsi
1.24,1.317940974,307.8494068,-164.1751277,dorsi
1.28,1.346789558,293.8634105,-168.2817459,dorsi
1.33,1.216950228,281.9661863,-167.4396707,dorsi
1.27,1.395480219,304.2907649,-166.0526819,dorsi
1.28,1.202405215,295.0546412,-178.2091768,dorsi
